sku,nombre,categoria,marca,modelo_impresora,compatible_con,stock_actual,stock_minimo,precio_compra,precio_venta,proveedor_id,activo
842079,Toner Original para Ricoh Aficio MP C305 Negro - 12.000 pag,OEM Original Product,RICOH,,,0,2,0.0,0.0,P120090,True
842080,Toner Original para Ricoh Aficio MP C305 Amarillo - 4.000 pag,OEM Original Product,RICOH,,,2,2,0.0,0.0,P120090,True
842081,Toner Original para Ricoh Aficio MP C305 Magenta - 4.000 pag,OEM Original Product,RICOH,,,0,4,0.0,0.0,P120090,True
842082,Toner Original para Ricoh Aficio MP C305 Cyan - 4.000 pag,OEM Original Product,RICOH,,,0,2,0.0,0.0,P120090,True
842095,Toner Original para Ricoh Aficio MP C306/307/406 Negro - 17.000 pag,OEM Original Product,RICOH,,,9,10,0.0,0.0,P120090,True
842096,Toner Original para Ricoh Aficio MP C306/307/406 Cyan - 6.000 pag,OEM Original Product,RICOH,,,4,8,0.0,0.0,P120090,True
842097,Toner Original para Ricoh Aficio MP C306/307/406 Magenta - 6.000 pag,OEM Original Product,RICOH,,,6,5,0.0,0.0,P120090,True
842098,Toner Original para Ricoh Aficio MP C306/307/406 Amarillo - 6.000 pag,OEM Original Product,RICOH,,,12,6,0.0,0.0,P120090,True
842116,Toner Original para Ricoh Aficio MP 5500/6000/6001/6500/6503/9001/9002/9003 IM 7000/8000/9000 Negro - 43.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120090,True
842198,Toner Original para Ricoh Aficio MP C6503/8003 Magenta - 26.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120090,True
842199,Toner Original para Ricoh Aficio MP C6503/8003 Cyan - 26.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120090,True
842236,Toner Original para Ricoh Aficio MP C300/400/401 Amarillo - 10.000 pag,OEM Original Product,RICOH,,,4,0,0.0,0.0,P120292,True
842238,Toner Original para Ricoh Aficio MP C300/400/401 Cyan - 10.000 pag,Bajo pedido,RICOH,,,5,0,0.0,0.0,PROV000,True
842239,Toner Original para Ricoh Aficio MP 3500/4000/4001/4002/4500/5000/5001/5002 Negro - 30.000 pag,OEM Original Product,RICOH,,,1,8,0.0,0.0,P120160,True
842255,Toner Original para Ricoh Aficio IM C3000/3500 Negro - 31.000 pag,OEM Original Product,RICOH,,,24,14,0.0,0.0,P120160,True
842256,Toner Original para Ricoh Aficio IM C3000/3500 Amarillo - 19.000 pag,OEM Original Product,RICOH,,,19,6,0.0,0.0,P120160,True
842257,Toner Original para Ricoh Aficio IM C3000/3500 Magenta - 19.000 pag,OEM Original Product,RICOH,,,29,6,0.0,0.0,P120160,True
842258,Toner Original para Ricoh Aficio IM C3000/3500 Cyan - 19.000 pag,OEM Original Product,RICOH,,,44,4,0.0,0.0,P120160,True
842283,Toner Original para Ricoh Aficio IM C4500/5500/6000 Negro - 33.000 pag,OEM Original Product,RICOH,,,30,2,0.0,0.0,P120292,True
842284,Toner Original para Ricoh Aficio IM C4500/5500/6000 Amarillo - 22.500 pag,OEM Original Product,RICOH,,,15,2,0.0,0.0,P120292,True
842285,Toner Original para Ricoh Aficio IM C4500/5500/6000 Magenta - 22.500 pag,OEM Original Product,RICOH,,,10,2,0.0,0.0,P120292,True
842286,Toner Original para Ricoh Aficio IM C4500/5500/6000 Cyan - 22.500 pag,OEM Original Product,RICOH,,,7,2,0.0,0.0,P120292,True
842311,Toner Original para Ricoh Aficio IM C2000/2500 Negro - 16.500 pag,OEM Original Product,RICOH,,,31,12,0.0,0.0,P120160,True
842312,Toner Original para Ricoh Aficio IM C2000/2500 Amarillo - 10.500 pag,OEM Original Product,RICOH,,,19,8,0.0,0.0,P120160,True
842312-B,Toner Original para Ricoh Aficio IM C2000/2500 Amarillo - 10.500 pag GRADO B,OEM GRADO B,RICOH,,,0,8,0.0,0.0,P120160,True
842313,Toner Original para Ricoh Aficio IM C2000/2500 Magenta - 10.500 pag,OEM Original Product,RICOH,,,18,6,0.0,0.0,P120160,True
842314,Toner Original para Ricoh Aficio IM C2000/2500 Cyan - 10.500 pag,OEM Original Product,RICOH,,,19,8,0.0,0.0,P120160,True
842338,Toner Original para Ricoh Aficio 1515/MP 161/171/201 Negro - 7.000 pag,OEM Original Product,RICOH,,,37,12,0.0,0.0,P120160,True
842339,Toner Original para Ricoh Aficio MP 301 Negro - 8.000 pag,OEM Original Product,RICOH,,,45,50,0.0,0.0,P120160,True
842341,Toner original para Ricoh Aficio MP 2001/2501 Negro - 9.000 pag,OEM Original Product,RICOH,,,0,6,0.0,0.0,P120090,True
842342,Toner Original para Ricoh Aficio MP 3053/3350/3352/3353 Negro - 11.000 pag,OEM Original Product,RICOH,,,11,6,0.0,0.0,P120160,True
842346,Toner Original para Ricoh Aficio MP 5500/6000/6001/6500/6503/9001/9002/9003 IM 7000/8000/9000 Negro - 43.000 pag,OEM Original Product,RICOH,,,81,58,0.0,0.0,P120090,True
842347,Toner Original para Ricoh Aficio MP 305 Negro - 9.000 pag,OEM Original Product,RICOH,,,0,2,0.0,0.0,P120292,True
842376,Toner Original para Ricoh Aficio IM C400 Magenta - 8.000 pag,Bajo pedido,RICOH,,,1,2,0.0,0.0,P120160,True
842384,Toner Original para Ricoh Aficio IM C300 Magenta - 6.000 pag,OEM Original Product,RICOH,,,0,12,0.0,0.0,P120160,True
842465,Toner Original para Ricoh Aficio MP C2051/2551 Negro - 10.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120292,True
842466,Toner Original para Ricoh Aficio MP C2051/2551 Amarillo - 9.500 pag,OEM Original Product,RICOH,,,1,0,0.0,0.0,P120090,True
842506,Toner Original Ricoh IM C3010/3510 Negro - 40.000 pag,OEM Original Product,RICOH,,,29,0,0.0,0.0,P120292,True
842507,Toner Original Ricoh IM C3010/3510 Amarillo - 28.000 pag,OEM Original Product,RICOH,,,12,0,0.0,0.0,P120292,True
842508,Toner Original Ricoh IM C3010/3510 Magenta - 28.000 pag,OEM Original Product,RICOH,,,12,0,0.0,0.0,P120292,True
842509,Toner Original Ricoh IM C3010/3510 Cyan - 28.000 pag,OEM Original Product,RICOH,,,11,0,0.0,0.0,P120292,True
842530,Toner Original Ricoh IM C4510/5510/6010 Negro - 42.000 pag,OEM Original Product,RICOH,,,8,0,0.0,0.0,P120292,True
842531,Toner Original Ricoh IM C4510/5510/6010 Amarillo - 28.000 pag,OEM Original Product,RICOH,,,4,0,0.0,0.0,P120292,True
842532,Toner Original Ricoh IM C4510/5510/6010 Magenta - 28.000 pag,OEM Original Product,RICOH,,,3,0,0.0,0.0,P120292,True
842533,Toner Original Ricoh IM C4510/5510/6010 Cyan - 28.000 pag,OEM Original Product,RICOH,,,3,0,0.0,0.0,P120292,True
842561,Toner Original Ricoh IM C2010/2510 Negro - 30.000 pag,OEM Original Product,RICOH,,,17,0,0.0,0.0,P120292,True
842562,Toner Original Ricoh IM C2010/2510 Amarillo - 18.000 pag,OEM Original Product,RICOH,,,15,0,0.0,0.0,P120292,True
842563,Toner Original Ricoh IM C2010/2510 Magenta - 18.000 pag,OEM Original Product,RICOH,,,15,0,0.0,0.0,P120292,True
842564,Toner Original Ricoh IM C2010/2510 Cyan - 18.000 pag,OEM Original Product,RICOH,,,16,0,0.0,0.0,P120292,True
842601,Toner Original para Ricoh Aficio IM C300 Negro - 17.000 pag,OEM Original Product,RICOH,,,32,12,0.0,0.0,P120160,True
842602,Toner Original para Ricoh Aficio IM C300 Cyan - 6.000 pag,OEM Original Product,RICOH,,,13,12,0.0,0.0,P120160,True
842603,Toner Original para Ricoh Aficio IM C300 Magenta - 6.000 pag,OEM Original Product,RICOH,,,28,12,0.0,0.0,P120160,True
842604,Toner Original para Ricoh Aficio IM C300 Amarillo - 6.000 pag,OEM Original Product,RICOH,,,14,12,0.0,0.0,P120160,True
842610,Toner Original Ricoh IM 370/460 Negro - 13.500 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,PROV000,True
842638,Toner Original Ricoh IM C7010 Negro - 42.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120292,True
842639,Toner Original Ricoh IM C7010 Amarillo - 28.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120292,True
842640,Toner Original Ricoh IM C7010 Magenta - 28.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120292,True
842641,Toner Original Ricoh IM C7010 Cyan - 28.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,P120292,True
842656,Toner Original Ricoh IM C320F Negro - 16.000 pag,OEM Original Product,RICOH,,,0,0,0.0,0.0,PROV000,True
842770,Toner Original Para Ricoh Aficio MP 2554/2555/3054/3055/3554/3555/4054/4055/5054/5055/6054/6055/IM 2500/3000/3500 Negro,OEM Original Product,RICOH,,,37,20,0.0,0.0,P120090,True
842771,Toner Original para Ricoh Aficio MP 4054/5054/6054/IM 4000/5000/6000 Negro - 37.000 pag,OEM Original Product,RICOH,,,55,18,0.0,0.0,P120292,True
842778,Toner Original para Ricoh Aficio IM C2501CE/3501CE/5501CE Cyan - 11.000 pag,OEM Original Product,RICOH,,,0,8,0.0,0.0,P120160,True
842779,Toner Original para Ricoh Aficio IM C2501CE/3501CE/5501CE Magenta - 11.000 pag,OEM Original Product,RICOH,,,0,8,0.0,0.0,P120160,True
842780,Toner Original para Ricoh Aficio IM C2501CE/3501CE/5501CE Amarillo - 11.000 pag,OEM Original Product,RICOH,,,0,8,0.0,0.0,P120160,True
848K43601,CVR de rollo retardado Xerox C8030,OEM Piezas HW 2D,XEROX,,,0,0,0.0,0.0,PROV000,True
859K00100,Cassette Feed Roll Assembly Original para Xerox Workcentre 6515 / Phaser 6510,OEM Piezas HW 2D,XEROX OPEN,,,1,1,0.0,0.0,P100031,True
884916,Toner Original para Ricoh Aficio MP 1100/1350/9000/9001 Negro - 60.000 pag,OEM Original Product,RICOH,,,1,0,0.0,0.0,P120090,True
885266,Toner Original para Ricoh Aficio MP 3053/3350/3352/3353 Negro - 11.000 pag,OEM Original Product,RICOH,,,4,0,0.0,0.0,P120160,True
888261,Toner Original para Ricoh Aficio 1515/MP 161/171/201 Negro - 7.000 pag,OEM Original Product,RICOH,,,1,0,0.0,0.0,P120090,True
893023,Rollo Master Original Ricoh Priport JP 1010 - 2 unidades,Bajo pedido,RICOH,,,0,0,0.0,0.0,P120292,True
893027,Master Original para Ricoh Priport JP 1050 - 250 copias,Bajo pedido,RICOH,,,6,0,0.0,0.0,P120160,True
